UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Knut Svanholm,@knutsvanholm,2022-02-21T22:36:26.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 21","Canadians, and everyone else for that matter!

Your money in the bank is not yours
It's not even money to begin with

You have one option and one option only

Adapt now, while you still have the chance
#Bitcoin
Dr Jordan B Peterson
@jordanbpeterson
 · Feb 21
Trudeau Government Moves to Make Expanded Surveillance Powers over Financial Transactions ""Permanent' https://nationalreview.com/corner/trudeau-government-moves-to-make-expanded-surveillance-powers-over-financial-transactions-permanent/…
4
7
50",,4,7,50,['https://pbs.twimg.com/profile_images/1407056014776614923/TKBC60e1_normal.jpg'],https://twitter.com/knutsvanholm/status/1495890184759652357
Lee Ourand,@leeourand,2022-02-21T12:16:02.000Z,"Lee Ourand
@leeourand
·
Feb 21","DHH isn’t the only co-founder I know of who—instead of introspecting a bit after doing something stupid and being criticized by “the left”—became a right-wing apologist and weird bitcoin enthusiast. Bit of a train wreck to observe.
DHH
@dhh
 · Feb 21
""I still can't believe that this is the protest that would prove every Bitcoin crank a prophet. And for me to have to slice a piece of humble pie, and admit that I was wrong on crypto's fundamental necessity in Western democracies."" https://world.hey.com/dhh/i-was-wrong-we-need-crypto-587ccb03…
6
6",,6,,6,['https://pbs.twimg.com/profile_images/975876868455809024/eK7mDppU_normal.jpg'],https://twitter.com/leeourand/status/1495734051851968514
Sergio Valenzuela,@BitcoinSergio,2022-02-21T12:51:12.000Z,"Sergio Valenzuela
@BitcoinSergio
·
Feb 21","Replying to 
@QCryptogirl
 and 
@CAPITALRADIOB
moon
2",,,,2,[],https://twitter.com/BitcoinSergio/status/1495742903385272326
avalBit,@avalBit,2022-02-21T20:30:04.000Z,"avalBit
@avalBit
·
Feb 21","Bitcoin Bill Introduced to Allow Californians to Pay State Services With Crypto
fool.com
Bitcoin Bill Introduced to Allow Californians to Pay State Services With Crypto
California takes its first step toward accepting Bitcoin as payment for state taxes and fees as a state lawmaker introduces a new Bitcoin bill.",,,,,['https://pbs.twimg.com/card_img/1498344757524840455/DPslhvr-?format=jpg&name=medium'],https://twitter.com/avalBit/status/1495858379452997633
David Zaera,@monsieurdeivid,2022-02-21T09:28:10.000Z,"David Zaera
@monsieurdeivid
·
Feb 21","Replying to 
@dinerobolsa
Bitcoin y esperar. 
@RemindMe_OfThis
 in 4 years
1",,1,,,[],https://twitter.com/monsieurdeivid/status/1495691808579407876
Knut Svanholm,@knutsvanholm,2022-02-22T07:37:19.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 22","E equals mc squared. 

If you add up all the energy consumed since bitcoin's inception and divide it by 21 million, you get about 37 Giga Joules. That's the equivalent of 0.415 micrograms per bitcoin. 

In other words, bitcoins cost around $90M per kilogram.
@C_Bendiksen
8
14
76",,8,14,76,[],https://twitter.com/knutsvanholm/status/1496026302188556292
Jaco₿,@Jacobomedrano_,2022-02-22T09:52:37.000Z,"Jaco₿
@Jacobomedrano_
·
Feb 22","How am I not going to be bullish??? #Bitcoin
1
1",,1,,1,"['https://pbs.twimg.com/media/FMMS8-1WUAYfBXN?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FMMS8-1XwAYyOtw?format=jpg&name=small']",https://twitter.com/Jacobomedrano_/status/1496060348780191748
Andrés,@andresancap,2022-02-22T19:24:33.000Z,"Andrés
@andresancap
·
Feb 22","Replying to 
@SportyWalter
 and 
@aantonop
Without a central bank in Bitcoin to cover those exchanges, the risk of doing a sort of fractional reserve is too high for them to even try.

At the end, BTC is BTC and no BTC can be created by anyone except by the miners in a known and limited quantity.
3",⚡ 🐍,,,3,[],https://twitter.com/andresancap/status/1496204281136963585
Knut Svanholm,@knutsvanholm,2022-02-22T07:43:28.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 22","""You can't do anything but vote""

That's it, Mr. Trudeau.
That is the problem.

Pssst, you can opt-out with #Bitcoin too
Justin Trudeau
@JustinTrudeau
Officiel du gouvernement - Canada
 · Feb 21
There’s no doubt the past few weeks have been difficult, that the past few years have been painful, or that there are still challenges we’ll have to face. But we cannot allow anger to divide us. Now is the time to work together – and to start healing as a nation.
6
4
43",,6,4,43,"['https://pbs.twimg.com/profile_images/1426938479909421056/QpI3TSNn_normal.jpg', 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FMKYYdQWQAY_Y4z.jpg']",https://twitter.com/knutsvanholm/status/1496027847357571076
devbarnyard.eth,@devbarnyard,2022-02-22T15:24:03.000Z,"devbarnyard.eth
@devbarnyard
·
Feb 22","The 
@NetworkUmbria
 bridge just bridged $ETH from 
@ethereum
 mainnet to 
@FantomFDN
 for the first time.

Total cost: $5.40
Total time: 1 minute 28 seconds

10x cheaper and 10x faster always 
2
10
23",💨,2,10,23,[],https://twitter.com/devbarnyard/status/1496143759351992323
David Villalba Bellón,@david_Vill_Bell,2022-02-22T13:02:13.000Z,"David Villalba Bellón
@david_Vill_Bell
·
Feb 22","Intel's custom Bitcoin processor could lead to chips for a supercomputing edge
networkworld.com
Intel's custom Bitcoin processor could lead to chips for a supercomputing edge
Intel is setting up an internal group to develop a processor optimized for Bitcoin mining, but the group will also work on ""other custom accelerated-supercomputing opportunities at the edge"".
1",,1,,,['https://pbs.twimg.com/card_img/1497265567425781768/kt1f6lmW?format=jpg&name=medium'],https://twitter.com/david_Vill_Bell/status/1496108062507077633
Millie Dimitrova,@crypto__millie,2022-02-22T21:29:06.000Z,"Millie Dimitrova
@crypto__millie
·
Feb 22","Do you think that the problem in Ukraine will affect the price of  #Bitcoin?
Yes
64.1%
No
35.9%
39 votes
·
Final results
2",🌸,2,,,[],https://twitter.com/crypto__millie/status/1496235625267310592
Knut Svanholm,@knutsvanholm,2022-02-22T16:14:17.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 22","Replying to 
@jordanbpeterson
#Bitcoin fixes this
1
28",,1,,28,[],https://twitter.com/knutsvanholm/status/1496156397322518532
Knut Svanholm,@knutsvanholm,2022-02-22T08:22:34.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 22","This really is all we're saying!
#Bitcoin #JohnLennon 
@seanonolennon
youtube.com
GIVE PEACE A CHANCE. (Ultimate Mix, 2020) - Plastic Ono Band (offic...
JOHN LENNON. GIMME SOME TRUTH. THE ULTIMATE MIXES. The Very Best of John Lennon.36 tracks completely remixed from the original multitracks in Stereo, 5.1 and...
1
7",,,1,7,['https://pbs.twimg.com/card_img/1495950599564795906/CveS0Hya?format=jpg&name=small'],https://twitter.com/knutsvanholm/status/1496037686280343557
Bravo75,@Steve48201666,2022-02-22T09:49:06.000Z,"Bravo75
@Steve48201666
·
Feb 22","Replying to 
@BaruchLeviathan
 and 
@Bitcoin
It's starting to look that way.",,,,,[],https://twitter.com/Steve48201666/status/1496059466021851137
René Bijloo,@cocinasolarrene,2022-02-22T20:21:21.000Z,"René Bijloo
@cocinasolarrene
·
Feb 22","Replying to 
@AnnaAtlasBTC
Bitcoin is love and freedom.
1
2",,1,,2,[],https://twitter.com/cocinasolarrene/status/1496218573655654408
crossoverboy86,@MarceJustMarce,2022-02-22T13:29:06.000Z,"crossoverboy86
@MarceJustMarce
·
Feb 22","Replying to 
@Domi16081
 and 
@CryptoWorldJosh
If the bear market is coming you may lose 80% in total if you bought the top, you're not going to 0. And that's the worst case scenario. Nobody really knows what's going to happen. I've never met anyone who sold bitcoin in a situation like that and didn't regret it later
1
1",,1,,1,[],https://twitter.com/MarceJustMarce/status/1496114828984864775
Knut Svanholm,@knutsvanholm,2022-02-23T20:46:44.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 23","This is the best sd for #Bitcoin I've ever seen
Giovanni Emmanuel
@topiltzingio
 · Feb 23
Replying to @SantiagoAuFund
2:15
34.9K views
11
12
72",👽,11,12,72,['https://pbs.twimg.com/profile_images/1450673895795671046/gbP0S4hy_normal.jpg'],https://twitter.com/knutsvanholm/status/1496587350486491136
Seamus Molloy,@seamusmolloy21,2022-02-23T01:03:05.000Z,"Seamus Molloy
@seamusmolloy21
·
Feb 22","It's boring, basic and takes years!!
Plus, Day trading by phone is so 2017!!! Bit like #Bitcoin
1",,,,1,['https://pbs.twimg.com/media/FMPjWP5XIAQkNbc?format=jpg&name=900x900'],https://twitter.com/seamusmolloy21/status/1496289474711638023
iinnoact,@iinnoact,2022-02-23T17:59:02.000Z,"iinnoact
@iinnoact
·
Feb 23","Luckybity Bitcoin Casino
iinnoact.es
Luckybity Bitcoin Casino
In the meantime, there is a considerable selection of providers and we will help you find your personal crypto casino. Naturally, online gambling with cryptocurrency is also increasing in popularit…",,,,,['https://pbs.twimg.com/card_img/1494544691928485890/T2NXT3qq?format=jpg&name=360x360'],https://twitter.com/iinnoact/status/1496545148263612416
Traderprofesional.com,@TTtradertwit,2022-02-23T07:21:18.000Z,"Traderprofesional.com
@TTtradertwit
·
Feb 23",Bitcoin https://is.gd/t0gPpq #trading #bolsa #cfds,,,,,['https://pbs.twimg.com/media/FMQ56jUXwAAVZKO?format=jpg&name=medium'],https://twitter.com/TTtradertwit/status/1496384659512565763
iinnoact,@iinnoact,2022-02-23T22:24:36.000Z,"iinnoact
@iinnoact
·
Feb 23","Best Bitcoin Casino Guide
iinnoact.es
Best Bitcoin Casino Guide
Fraudulent behavior on the part do you agree of online casinos has been documented, almost exclusively by player advocacy websites and forums. The most commonly reported behavior is a refusal to pa…",,,,,['https://pbs.twimg.com/card_img/1494544691928485890/T2NXT3qq?format=jpg&name=360x360'],https://twitter.com/iinnoact/status/1496611981058625546
weedlove,@weedlove10,2022-02-23T13:52:17.000Z,"weedlove
@weedlove10
·
Feb 23","I've just created ""tower bridge "" collectible! https://rarible.com/token/0xc9154424B823b10579895cCBE442d41b9Abd96Ed:63137438784247334798236867981118476159538857917124561150944729468407577051190… #rarible #ethereum #nonfungible #digitalasset #nft a través de 
@rarible
rarible.com
tower bridge
2",,,,2,['https://pbs.twimg.com/card_img/1496483034299830272/KTyCno9v?format=jpg&name=medium'],https://twitter.com/weedlove10/status/1496483051341336576
Víctor R. Pardilla,@VictorPardilla,2022-02-23T18:14:04.000Z,"Víctor R. Pardilla
@VictorPardilla
·
Feb 23","""Read news about JPMorgan's cryptocurrency, valutation of Ethereum and CBOE Bitcoin Futures on Coin360. Watch prices of cryptocurrency on our heatmap widget.""
coin360.com
JPMorgan's crypto, Bitcoin Futures, Valuation of Ethereum
Read news about JPMorgan's cryptocurrency, valutation of Ethereum and CBOE Bitcoin Futures on Coin360. Watch prices of cryptocurrency on our heatmap widget.",,,,,[],https://twitter.com/VictorPardilla/status/1496548931492265989
Imaddin Amsif,@imaddinAmsif,2022-02-23T00:18:48.000Z,"Imaddin Amsif
@imaddinAmsif
·
Feb 22","@gavofyork
  I have promised to bring you to one of my interviews to be with my students.
Thank you for everything, very few people are aware that without just Bitcoin we would not have Bitcoin and we would not have been able to bring business models to Blockchain.
1",,,,1,[],https://twitter.com/imaddinAmsif/status/1496278333545398273
Alfonso Sánchez,@reacziona,2022-02-23T11:06:30.000Z,"Alfonso Sánchez
@reacziona
·
Feb 23","El valor total bloqueado en Bitcoin Lightning Network alcanza los $1,3 mil millones
es.beincrypto.com
El valor total bloqueado en Bitcoin Lightning Network alcanza los $1,3 mil millones - BeInCrypto
La cantidad de BTC bloqueados en Lightning Network (LN) se ha triplicado de 1,089 BTC en 2021 a 3,479 BTC, según DeFi Pulse. Los BTC bloqueados están valorados actualmente en 1,300 millones de...
1",,1,,,['https://pbs.twimg.com/card_img/1496414863517786119/ccpvrn8I?format=jpg&name=medium'],https://twitter.com/reacziona/status/1496441329483751424
inma,@immakulee,2022-02-23T01:15:47.000Z,"inma
@immakulee
·
Feb 22","Replying to 
@MSheeP10
 @acaibcwl
 and 
@OoCPokemon
I thought it said no bitcoin ",🧁 💀,,,,[],https://twitter.com/immakulee/status/1496292671043907587
AquarianFutures♒︎,@FractalKaleido1,2022-02-23T09:33:23.000Z,"AquarianFutures♒︎
@FractalKaleido1
·
Feb 23","Replying to 
@zhusu
The logic of “give investors exposure to Bitcoin” by avoiding self custody and giving a vault ""custody” ..

What is this sorcery that they just can’t buy it for themselves? Microstrategy.
1",,,1,,[],https://twitter.com/FractalKaleido1/status/1496417899027865600
Knut Svanholm,@knutsvanholm,2022-02-23T11:15:57.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 23","Replying to 
@DiedenFredrik
 @Stephan_barker
 and 
@saifedean
The only mechanism doing it right is #Bitcoin 

Look at the data

The number of whales is decreasing
The number of shrimp is increasing

The opposite of socialism actually redistributes wealth
1
1",,1,,1,[],https://twitter.com/knutsvanholm/status/1496443710514601988
Emeka Azuka Okoye,@EmekaOkoye,2022-02-23T17:11:19.000Z,"Emeka Azuka Okoye
@EmekaOkoye
·
Feb 23","Replying to 
@bava23
 and 
@Carnage4Life
IMHO

Cash
Bitcoin
CBDC

Will all co-exist in the future.

In Africa, cash will be king for a long time.
1
1",,1,,1,[],https://twitter.com/EmekaOkoye/status/1496533141359583236
Odis,@OdisRiedl,2022-02-23T13:20:27.000Z,"Odis
@OdisRiedl
·
Feb 23","Replying to 
@RossionQ
 @bitcoin_bojo
 and 3 others
and/or live in Germany
1",⚡,1,,,[],https://twitter.com/OdisRiedl/status/1496475041646657540
Seamus Molloy,@seamusmolloy21,2022-02-24T18:32:17.000Z,"Seamus Molloy
@seamusmolloy21
·
Feb 24","You do know, map reading used to be a critical skill once!!! #Bitcoin",,,,,"['https://pbs.twimg.com/media/FMYdEm4WYAMX_Cf?format=jpg&name=medium', 'https://pbs.twimg.com/media/FMYdFCQX0AgmN58?format=jpg&name=small', 'https://pbs.twimg.com/media/FMYdE1GXsAk-X2z?format=jpg&name=medium', 'https://pbs.twimg.com/media/FMYdFNzXEAUQWG0?format=jpg&name=small']",https://twitter.com/seamusmolloy21/status/1496915903581196289
iinnoact,@iinnoact,2022-02-24T18:21:21.000Z,"iinnoact
@iinnoact
·
Feb 24","Bitcoin Casino List
iinnoact.es
Bitcoin Casino List
It’s a great way to go if you’re handling virtual coins for the first time. Although, perhaps the most important characteristic of Bitcoin is decentralization. Players the world over can deposit fu…",,,,,['https://pbs.twimg.com/card_img/1494544691928485890/T2NXT3qq?format=jpg&name=360x360'],https://twitter.com/iinnoact/status/1496913152470130692
Carlos,@Geoyde,2022-02-24T20:25:10.000Z,"Carlos
@Geoyde
·
Feb 24","#Bitcoin  wins.
Finish FIAT!!!",,,,,[],https://twitter.com/Geoyde/status/1496944312050982914
Ramon Quesada,@RamonQuesadaT,2022-02-24T00:13:03.000Z,"Ramon Quesada
@RamonQuesadaT
·
Feb 23","WTF!!!!
""This means that Bitcoin could become illegal within the European Union starting from Jan. 1, 2025.""
u.today
EU on Track to Ban Bitcoin: Report
Bitcoin will be banned in the EU starting from 2025 if the Commission and the Council of the EU don’t ditch a crippling amendment to the MiCA framework
3
4
5",🌷,3,4,5,['https://pbs.twimg.com/card_img/1496549299446034432/okx1Bpbu?format=jpg&name=900x900'],https://twitter.com/RamonQuesadaT/status/1496639273503797253
Hernani,@theHman10,2022-02-24T19:43:09.000Z,"Hernani
@theHman10
·
Feb 24","Replying to 
@BigCheds
Do you think that Bitcoin is showing some strong demand at 33/34k area even with the world news its holding that level. I feel like back in the day this type of event wouldve resulted in a much worse selloff
1",,,,1,[],https://twitter.com/theHman10/status/1496933739443765251
Víctor R. Pardilla,@VictorPardilla,2022-02-24T19:17:49.000Z,"Víctor R. Pardilla
@VictorPardilla
·
Feb 24","Cryptocurrency market analysis, Bitcoin days away from breaking bear market record, Ripple overvalued, Georgia’s crypto mining going strong, Crypto scams, hackers.
coin360.com
Bitcoin & Bear market, Ripple overvalued, Crypto scam: Market analysis
Cryptocurrency market analysis, Bitcoin days away from breaking bear market record, Ripple overvalued, Georgia’s crypto mining going strong, Crypto scams, hackers.
1",,1,,,['https://pbs.twimg.com/card_img/1496577108033871878/2vOPSJCz?format=png&name=medium'],https://twitter.com/VictorPardilla/status/1496927364764381187
Peter Tögel,@ptogel,2022-02-24T09:14:01.000Z,"Peter Tögel
@ptogel
·
Feb 24","Putin probably my bed his mom neu into 
@Bitcoin
 #war #Putin",,,,,[],https://twitter.com/ptogel/status/1496775410876571649
Kristof Roomp,@KristofRoomp,2022-02-24T11:04:51.000Z,"Kristof Roomp
@KristofRoomp
·
Feb 24","Replying to 
@GordonJohnson19
 and 
@Bitcoin
I don’t think you can call Bitcoin a security since it doesn’t actually give and rights or represent anything of financial value other than itself.",,,,,[],https://twitter.com/KristofRoomp/status/1496803301744168960
Ramon Quesada,@RamonQuesadaT,2022-02-25T00:44:46.000Z,"Ramon Quesada
@RamonQuesadaT
·
Feb 24","Download HandCash 4.0 and start testing the power of Bitcoin with micro payments and apps like never before!
2
7
30",🌷,2,7,30,['https://pbs.twimg.com/media/FMZyVfCXEAEgv6X?format=jpg&name=medium'],https://twitter.com/RamonQuesadaT/status/1497009642559672324
Knut Svanholm,@knutsvanholm,2022-02-25T08:43:55.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 25","Needs to be said; The Dollar is a ponzi scheme & unregulated security that cannot create real BTC b/c unlike a #Bitcoin there is no underlying energy expenditure; for each winner, there are MULTIPLE losers. As smart BTC exits, the bubble will collapse spectacularly.
Gordon Johnson
@GordonJohnson19
 · Feb 23
Needs to be said; @Bitcoin is a ponzi scheme (our opinion) & unregulated security that cannot create real $ b/c unlike a stock there is no underlying asset that generates income; for each winner, there are MULTIPLE losers. As smart $ exits, the bubble will collapse spectacularly.
2
6
43",,2,6,43,['https://pbs.twimg.com/profile_images/2974714054/5ad61ff4bc78b5fc63dcc74f840e42ef_normal.jpeg'],https://twitter.com/knutsvanholm/status/1497130224936443906
Samantha's broken heart,@Sad_angel_Xo,2022-02-25T04:03:29.000Z,"Samantha's broken heart
@Sad_angel_Xo
·
Feb 24","Replying to 
@Bitcoin
The world has moved on beyond gold and it is no longer a necessity to us, it's old news. Even old people are no longer interested in it. I know older gents in the trading world who are selling gold to buy btc and even memecoins like ELON. Strange times
4
1
4",,4,1,4,[],https://twitter.com/Sad_angel_Xo/status/1497059652022022144
Knut Svanholm,@knutsvanholm,2022-02-25T12:40:13.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 25","Hey 
@billburr
 !

There's a new 
@meshuggah
 song out and I think it's about #Bitcoin!

I think you'll like it!
Brrrta, brrrta, brrrta, brrrta 
youtube.com
MESHUGGAH – The Abysmal Eye (Official Music Video)
MESHUGGAHs single “The Abysmal Eye”Taken from Album “Immutable” (April 1, 2022)Stream / get it here: https://meshuggah.afr.link/immutable
2
1
10",😉 ▶,2,1,10,['https://pbs.twimg.com/card_img/1496912079479091201/wV30Ytyg?format=jpg&name=360x360'],https://twitter.com/knutsvanholm/status/1497189693359857666
karraskiyo,@karraskiyo,2022-02-25T19:40:17.000Z,"karraskiyo
@karraskiyo
·
Feb 25","Replying to 
@AltcoinDailyio
How can be illegal something that was declared illegal before? Do they remember how many times Bitcoin has been declared illegal in China?
8
8
393",,8,8,393,[],https://twitter.com/karraskiyo/status/1497295404047683584
avalBit,@avalBit,2022-02-25T10:50:07.000Z,"avalBit
@avalBit
·
Feb 25","Play-to-Earn Blockchain Game Axie Infinity Surpasses $4 Billion in All-Time NFT Sales – Blockchain Bitcoin News
news.bitcoin.com
Play-to-Earn Blockchain Game Axie Infinity Surpasses $4 Billion in All-Time NFT Sales – Blockchain...
The online video game crafted by the Vietnamese software studio Sky Mavis, surpassed $4 billion in all-time non-fungible token (NFT) sales.
1",,,,1,['https://pbs.twimg.com/card_img/1498048587820941313/8r0-YrRW?format=jpg&name=medium'],https://twitter.com/avalBit/status/1497161983002619921
