UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
avalBit,@avalBit,2022-02-25T21:45:05.000Z,"avalBit
@avalBit
·
Feb 25","JPMorgan Opens a Lounge in the Metaverse After Stating the $1 Trillion Market 'Will Likely Infiltrate Every Sector' – Metaverse Bitcoin News
news.bitcoin.com
JPMorgan Opens a Lounge in the Metaverse After Stating the $1 Trillion Market 'Will Likely Infilt...
Global Investment bank JPMorgan says, ""The metaverse will likely infiltrate every sector in some way in the coming years, with the market opportunity estimated at over $1 trillion in yearly revenue...
1
2",,1,,2,['https://pbs.twimg.com/card_img/1498139235920007174/ww4LBeww?format=jpg&name=medium'],https://twitter.com/avalBit/status/1497326810203402251
avalBit,@avalBit,2022-02-25T18:45:10.000Z,"avalBit
@avalBit
·
Feb 25","How Bitcoin Fits With ‘Beautiful Mind’ Mathematician John Nash’s Ideal Money
bitcoinmagazine.com
How Bitcoin Fits With ‘Beautiful Mind’ Mathematician John Nash’s Ideal Money
Pioneering mathematician John Nash laid out a concept for “Ideal Money” that has parallels with Satoshi Nakamoto’s Bitcoin.",,,,,['https://pbs.twimg.com/card_img/1498440953786470405/CRHQE6qq?format=jpg&name=medium'],https://twitter.com/avalBit/status/1497281533920653319
avalBit,@avalBit,2022-02-25T20:30:09.000Z,"avalBit
@avalBit
·
Feb 25","Inside Immersion Cooling: The Pros And Cons Of Bitcoin Mining’s Rapidly-Growing Practice
bitcoinmagazine.com
Inside Immersion Cooling: The Pros And Cons Of Bitcoin Mining’s Rapidly-Growing Practice
Immersion cooling has emerged as a rapidly-evolving technique for increasing bitcoin mining rig efficiency, with many pros, cons and details to consider.",,,,,['https://pbs.twimg.com/card_img/1498285841847828487/PyLgBGiJ?format=jpg&name=medium'],https://twitter.com/avalBit/status/1497307953166180354
Knut Svanholm,@knutsvanholm,2022-02-25T07:21:32.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 25","@meshuggah
 's new album is called ""Immutable""

Read the lyrics to this new single (in the notes) and tell me it's not about #Bitcoin and the fall of the central banks!

Not for the light-hearted...
youtube.com
MESHUGGAH – The Abysmal Eye (Official Music Video)
MESHUGGAHs single “The Abysmal Eye”Taken from Album “Immutable” (April 1, 2022)Stream / get it here: https://meshuggah.afr.link/immutable
3
1
7",▶,3,1,7,['https://pbs.twimg.com/card_img/1496912079479091201/wV30Ytyg?format=jpg&name=360x360'],https://twitter.com/knutsvanholm/status/1497109493548826628
iinnoact,@iinnoact,2022-02-25T12:06:42.000Z,"iinnoact
@iinnoact
·
Feb 25","The Best New Bitcoin Casinos Of 2021
iinnoact.es
The Best New Bitcoin Casinos Of 2021
While this is a marketing strategy to attract players into the Casino, it’s vital for new players to look for casinos that offer them. While this gives you a chance to receive free money, it also o…",,,,,['https://pbs.twimg.com/card_img/1497082088197083170/8KM6KOT6?format=jpg&name=360x360'],https://twitter.com/iinnoact/status/1497181258518044679
iinnoact,@iinnoact,2022-02-25T11:19:09.000Z,"iinnoact
@iinnoact
·
Feb 25","Best Bitcoin Casinos » Find The Best Crypto Casino
iinnoact.es
Best Bitcoin Casinos » Find The Best Crypto Casino
Apart from deposits and withdrawals, I also paid attention to the overall quality of each casino, making a thorough assessment test to narrow down the list. Any bitcoin casino that didn’t score the…",,,,,['https://pbs.twimg.com/card_img/1497082088197083170/8KM6KOT6?format=jpg&name=360x360'],https://twitter.com/iinnoact/status/1497169290889515017
Víctor R. Pardilla,@VictorPardilla,2022-02-25T18:06:15.000Z,"Víctor R. Pardilla
@VictorPardilla
·
Feb 25","There's a feature on Twitter that lets you receive tips via third-party payment channels. Learn how to set up this feature and how to send bitcoin-denominated tips.
coindesk.com
How to Send Bitcoin Tips on Twitter
There is now a new feature on Twitter that lets you receive tips via third-party payment channels. Learn how to set up this feature to start sending bitcoin-denominated tips.",,,,,['https://pbs.twimg.com/card_img/1497172493496315906/LylzHpXf?format=jpg&name=medium'],https://twitter.com/VictorPardilla/status/1497271739436441603
Pavel Nosok,@PavelNosok,2022-02-25T18:09:32.000Z,"Pavel Nosok
@PavelNosok
·
Feb 25","LUNA rallies, Bitcoin jumps above $39k as war in Ukraine continues
1010.team
LUNA rallies, Bitcoin jumps above $39k as war in Ukraine continues - 1010.team
Some days make it difficult to find joy, even as crypto markets are rallying. The post LUNA rallies, Bitcoin jumps above $39k as war in Ukraine continues appeared first on CryptoSlate.",,,,,[],https://twitter.com/PavelNosok/status/1497272567148826633
Víctor R. Pardilla,@VictorPardilla,2022-02-25T07:17:59.000Z,"Víctor R. Pardilla
@VictorPardilla
·
Feb 25","USDT only has enough cash to back 74% of its supply. 89% of people have heard of Bitcoin. ITIF released recommendations on how to regulate blockchain technology.
coin360.com
USDT can only back 74% of its supply, 89% of people heard of Bitcoin
USDT only has enough cash to back 74% of its supply. 89% of people have heard of Bitcoin. ITIF released recommendations on how to regulate blockchain technology.",,,,,[],https://twitter.com/VictorPardilla/status/1497108598383648769
iinnoact,@iinnoact,2022-02-25T17:39:58.000Z,"iinnoact
@iinnoact
·
Feb 25","Bitcoin Casino & Sports Betting
iinnoact.es
Bitcoin Casino & Sports Betting
informative post Here are the reasons why Bitcoin gambling platforms engage players and a simple guide on how to create an online Bitcoin casino. Gamblers prefer traditional payments- Many players …",,,,,['https://pbs.twimg.com/card_img/1497082088197083170/8KM6KOT6?format=jpg&name=360x360'],https://twitter.com/iinnoact/status/1497265127426564099
iinnoact,@iinnoact,2022-02-25T06:09:13.000Z,"iinnoact
@iinnoact
·
Feb 25","Best Bitcoin Casinos Reviewed 2021 Updated
iinnoact.es
Best Bitcoin Casinos Reviewed 2021 Updated
No third party is given access to your personal and financial information. In addition, you will not encounter the chargeback issues associated with the standard credit cards.",,,,,['https://pbs.twimg.com/card_img/1497082088197083170/8KM6KOT6?format=jpg&name=360x360'],https://twitter.com/iinnoact/status/1497091294199529473
Knut Svanholm,@knutsvanholm,2022-02-25T15:42:50.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 25","Replying to 
@w_s_bitcoin
 and 
@PROBABLYN0THING
There will always be at least as much value in other assets as there are #Bitcoin 

The point of /21M is that bitcoin has the potential to represent all those assets one day
4",♾,,,4,[],https://twitter.com/knutsvanholm/status/1497235647093870595
Alfreedom,@quetooll,2022-02-25T18:30:51.000Z,"Alfreedom
@quetooll
·
Feb 25","Replying to 
@blisstweeting
 @DmytroKuleba
 and 2 others
Everything is going to be obsolete (it is already a fact) once #Bitcoin gets globally adopted
1
1",🦔,1,,1,[],https://twitter.com/quetooll/status/1497277929453092865
• Kev •,@CryptoKev89,2022-02-26T09:56:53.000Z,"• Kev •
@CryptoKev89
·
Feb 26","#Crypto is the fucking future! I don’t give a fuck about politics, they are all a bunch of scumbags! Shame on them But I have the need to thank them to show the world how necessary crypto is and how rotten our finance system is as well… Long live to #crypto #Bitcoin
ARTYOM FΞDOSOV
@usleepwalker
 · Feb 25
My Ukrainian credit cards don't work anymore. I'm safe physically in Kazakhstan, but all my savings are gone.

Crypto is the only money I still have, and today I can say without exaggeration that $BTC, $ETH, and #NFT are going to save my life while I can't come back home.
2
6",🌋 🖕,2,,6,['https://pbs.twimg.com/profile_images/1488213337880018948/OJMshP06_normal.jpg'],https://twitter.com/CryptoKev89/status/1497510975855112192
karraskiyo,@karraskiyo,2022-02-26T20:55:14.000Z,"karraskiyo
@karraskiyo
·
Feb 26","Replying to 
@AltcoinDailyio
Don’t worry. Just China can ban Bitcoin eternally. At least once or twice a year. 
5
4",😂 🤣 😂,5,,4,[],https://twitter.com/karraskiyo/status/1497676653832683533
Traderprofesional.com,@TTtradertwit,2022-02-26T05:21:38.000Z,"Traderprofesional.com
@TTtradertwit
·
Feb 25",Bitcoin https://is.gd/t0gPpq #trading #bolsa #cfds,,,,,['https://pbs.twimg.com/media/FMf7Sl_XIAE9jK7?format=jpg&name=medium'],https://twitter.com/TTtradertwit/status/1497441704366022656
Knut Svanholm,@knutsvanholm,2022-02-26T09:05:45.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 26","Replying to 
@My_Livin_Truth
A price is nothing but a signal. It is the signal the market produces, regardless of how manipulated that market is. Prices are the best representations of people's wants, needs and abilities there are. Bitcoin will, over time, make these signals sincerer and less distorted.
4
3
37",,4,3,37,[],https://twitter.com/knutsvanholm/status/1497498104865644548
Fionnghall Trail,@FionnTail,2022-02-26T05:08:52.000Z,"Fionnghall Trail
@FionnTail
·
Feb 25","$SPY 

Bitcoin is slow as shit lol ",,,,,[],https://twitter.com/FionnTail/status/1497438491935870976
Rak,@Rakskuder,2022-02-26T16:03:14.000Z,"Rak
@Rakskuder
·
Feb 26","I just listed “TRISKELION” for sale on 
@withFND
!  #NFT #NFTs #NFTCommunity  #NFTGiveaway #NFTGame #Crypto #ETH #Ethereum #cryptoart #digitalart #animation #art #ArtistOnTwitter #anime
foundation.app
TRISKELION | Foundation
TRISKELION TALES: She, the owner of the true Triskelion. She is a druid, she is magic, she is a brave soul, she is unique. She represents the power and unio…
1
7
10",🌐,1,7,10,['https://pbs.twimg.com/card_img/1497602648937500675/CmL_bq7h?format=jpg&name=large'],https://twitter.com/Rakskuder/status/1497603167890161664
iinnoact,@iinnoact,2022-02-26T23:01:19.000Z,"iinnoact
@iinnoact
·
Feb 26","Finest Bitcoin On-line casinos For real Funds 2022 * America Bitcoin Gambling establishments
iinnoact.es
Finest Bitcoin On-line casinos For real Funds 2022 * America Bitcoin Gambling establishments
You can also pertain bros before making a accrual inside the evidence and get the benefit of a blueprint settings furnished by a new location. Some African attn : web-sites give added bonus product…
1",,,,1,[],https://twitter.com/iinnoact/status/1497708385248198660
iinnoact,@iinnoact,2022-02-26T15:46:54.000Z,"iinnoact
@iinnoact
·
Feb 26","Online Bitcoin Casino Game, Online Bitcoin Casino Instant Withdrawal
iinnoact.es
Online Bitcoin Casino Game, Online Bitcoin Casino Instant Withdrawal
All of these pieces of information can be Huge Bad Wolf mermaids millions Megaways Quickspin found in the casino terms and conditions. “Cryptos” like Bitcoin are becoming increasingly popular at on…
1",,1,,,[],https://twitter.com/iinnoact/status/1497599059896549383
iinnoact,@iinnoact,2022-02-26T13:13:44.000Z,"iinnoact
@iinnoact
·
Feb 26","Online Bitcoin Casino Guide
iinnoact.es
Online Bitcoin Casino Guide
The casino has a wide range of games and includes 1000+ high-quality casino games, but lacks the popular sports book feature where you can bet on popular sporting events. The expectation is that as…",,,,,[],https://twitter.com/iinnoact/status/1497560514611789826
Joaquin,@Joaquin_Bob,2022-02-26T12:13:57.000Z,"Joaquin
@Joaquin_Bob
·
Feb 26","Replying to 
@SeekingTheValue
Bitcoin fixes this
1",🏷,1,,,[],https://twitter.com/Joaquin_Bob/status/1497545468901044227
iinnoact,@iinnoact,2022-02-26T18:57:01.000Z,"iinnoact
@iinnoact
·
Feb 26","Bitcoin Very little Despoit Bonuses & Rules 2022
iinnoact.es
Bitcoin Very little Despoit Bonuses & Rules 2022
Found at TheBitcoinStrip.com everyone stack completely informative post new Bitcoin on-line casinos on a weekly basis and begin review on-line for ever that this trade should always ad.",,,,,['https://pbs.twimg.com/card_img/1497082088197083170/8KM6KOT6?format=jpg&name=360x360'],https://twitter.com/iinnoact/status/1497646903252733952
Víctor R. Pardilla,@VictorPardilla,2022-02-26T16:21:27.000Z,"Víctor R. Pardilla
@VictorPardilla
·
Feb 26","Ethereum 2.0 developers plan to release the Phase 0 of Ethereum 2.0 roadmap. CME Bitcoin futures will expire on March, 29. Cryptocurrency backed by palladium.
coin360.com
Ethereum 2.0 Release & Roadmap, CME Bitcoin Futures Expire – COIN360
Ethereum 2.0 developers plan to release the Phase 0 of Ethereum 2.0 roadmap. CME Bitcoin futures will expire on March, 29. Cryptocurrency backed by palladium.",,,,,[],https://twitter.com/VictorPardilla/status/1497607756211179526
iinnoact,@iinnoact,2022-02-26T20:50:30.000Z,"iinnoact
@iinnoact
·
Feb 26","Bitcoin Basically no Despoit Add-ons & Regulations 2022
iinnoact.es
Bitcoin Basically no Despoit Add-ons & Regulations 2022
Added income may be used in month, rotates on 10 days, or else the seldom used will likely be drawn. Don’m ignore the chance to try out any one our complimentary £5 various video poker machines bon…
1",,1,,,['https://pbs.twimg.com/card_img/1497082088197083170/8KM6KOT6?format=jpg&name=360x360'],https://twitter.com/iinnoact/status/1497675464491601931
iinnoact,@iinnoact,2022-02-26T07:25:35.000Z,"iinnoact
@iinnoact
·
Feb 26","No Deposit Bitcoin Bonuses For 2021
iinnoact.es
No Deposit Bitcoin Bonuses For 2021
Almost all Canada’s Fast Paying Casinos have similar processing times. To make withdrawals Greatest Online Mobile Gambling enterprises Around australia faster and more secure, each player has to ve…",,,,,['https://pbs.twimg.com/card_img/1497082088197083170/8KM6KOT6?format=jpg&name=360x360'],https://twitter.com/iinnoact/status/1497472900525346816
Knut Svanholm,@knutsvanholm,2022-02-26T16:23:18.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 26","Replying to 
@wtfydinghere
 @Breedlove22
 and 
@WhatisMoneyShow
Criminal behavior is still criminal behavior

Bitcoin makes the mafia less powerful too, but I still don't like them either
1",,1,,,[],https://twitter.com/knutsvanholm/status/1497608217848864768
iinnoact,@iinnoact,2022-02-26T06:58:56.000Z,"iinnoact
@iinnoact
·
Feb 26","Why Bitcoin Can be Stupid
iinnoact.es
Why Bitcoin Can be Stupid
Wildz is undoubtedly professional and commence operated from the Italia Bets Knowledgeable. A Pay out Nitrogen Play the game Betting house KYC approach is normally crucial moment as a result of int…",,,,,['https://pbs.twimg.com/card_img/1497082088197083170/8KM6KOT6?format=jpg&name=360x360'],https://twitter.com/iinnoact/status/1497466192981811204
Knut Svanholm,@knutsvanholm,2022-02-26T21:59:22.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 26","Replying to 
@AlexandrWilder
For starters, the labor theory of value is wrong, value is a subjective construct

Moreover, there is no DAO nor is there a need for one. The decentralization in #Bitcoin is there to prevent double spending. Nothing else. Decentralization is not an end in itself, but a means.
7",,7,,,[],https://twitter.com/knutsvanholm/status/1497692795552817154
Knut Svanholm,@knutsvanholm,2022-02-27T16:24:28.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 27","Make #Bitcoin , not war
11
30
148",,11,30,148,['https://pbs.twimg.com/media/FMncdQvXwAErQZK?format=jpg&name=medium'],https://twitter.com/knutsvanholm/status/1497970900460875776
Knut Svanholm,@knutsvanholm,2022-02-27T16:30:54.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 27","Throw a dice 99 times

Now you can receive #Bitcoin 

Few
5
6
112",,5,6,112,[],https://twitter.com/knutsvanholm/status/1497972520431104005
Imaddin Amsif,@imaddinAmsif,2022-02-27T01:59:27.000Z,"Imaddin Amsif
@imaddinAmsif
·
Feb 26","Hey 
@PeterSchiff
 tell me any way to help the Ukrainian people with gold? Can you tell me how the Russian and Ukrainian people take refuge in gold in the middle of the war? Or the Russian people without SIWFT? 
Well, there is no need. 
We have Bitcoin.
2
16",,,2,16,[],https://twitter.com/imaddinAmsif/status/1497753211264028674
Knut Svanholm,@knutsvanholm,2022-02-27T16:22:47.000Z,"Knut Svanholm
@knutsvanholm
·
Feb 27","I'm happy to admit that I know very little about the war in Ukraine

I've done some research, but I have very limited knowledge about the true motives behind this conflict

What I do know is that all wars are funded by taxes and inflation

Choose your focus carefully
#Bitcoin
6
7
128",,6,7,128,[],https://twitter.com/knutsvanholm/status/1497970478333505539
Ramon Quesada,@RamonQuesadaT,2022-02-27T07:50:09.000Z,"Ramon Quesada
@RamonQuesadaT
·
Feb 27","""...I invented Bitcoin to walk the fine razor-edge between surveillance and criminal systems that is privacy.""

Fully Peer-to-Peer
By Craig Wright 
06 Jun 2019
craigwright.net
Fully Peer-to-Peer
6
11",🌷,,6,11,['https://pbs.twimg.com/card_img/1497436346234851328/bIFpc9xJ?format=jpg&name=small'],https://twitter.com/RamonQuesadaT/status/1497841469188620291
Ramon Quesada,@RamonQuesadaT,2022-02-27T08:03:28.000Z,"Ramon Quesada
@RamonQuesadaT
·
Feb 27","""As the verdict of Kleiman v. Wright trial from the US federal court,...He was cleared of fraudulent charges by the jury, except the charge of conversion on intellectual property""

How Bitcoin was created - the inventor and people involved.
Fen 26, 2022
blog.bsvdata.com
How Bitcoin was created - the inventor and people involved
InventorDr. Craig Steven Wright is the Inventor of Bitcoin under the pseudonym Satoshi Nakamoto. He is an Australian computer scientist(PhD), lecturer, businessman and inventor currently living in...
5
11",🌷,,5,11,['https://pbs.twimg.com/card_img/1497635194144186370/1O56SaXH?format=jpg&name=medium'],https://twitter.com/RamonQuesadaT/status/1497844822186545154
Fionnghall Trail,@FionnTail,2022-02-27T22:42:04.000Z,"Fionnghall Trail
@FionnTail
·
Feb 27","$BTC I hope they work it out. If not I guess Russia will be forced to use bitcoin to buy war stuff  
1
1",👀,1,,1,['https://pbs.twimg.com/media/FMozAeDakAEHkzy?format=jpg&name=medium'],https://twitter.com/FionnTail/status/1498065925584539649
Samantha's broken heart,@Sad_angel_Xo,2022-02-27T07:39:05.000Z,"Samantha's broken heart
@Sad_angel_Xo
·
Feb 27","Replying to 
@MMCrypto
Bitcoin is essential and crucial, this is what everyone knew, it just needed a better way to be implemented. Now more than ever, there are even more coins such as DOGE ELON SHIB which are showing that they can be valuable too!
4
5",,4,,5,[],https://twitter.com/Sad_angel_Xo/status/1497838682371346437
RobertBTC,@RobertPortoles,2022-02-27T09:13:35.000Z,"RobertBTC
@RobertPortoles
·
Feb 27","Replying to 
@DanielMuvdiYT
Bitcoin!
1
1
1",🚀,1,1,1,[],https://twitter.com/RobertPortoles/status/1497862467912966150
iinnoact,@iinnoact,2022-02-27T05:58:12.000Z,"iinnoact
@iinnoact
·
Feb 26","Bitcoin Btc Casino
iinnoact.es
Bitcoin Btc Casino
Apart from Bitcoin gambling, they also have slot games for which they regularly offer complimentary spins and other bonuses. You can also try new slots introduced by Rival Gaming named I-slots with…",,,,,['https://pbs.twimg.com/card_img/1497082088197083170/8KM6KOT6?format=jpg&name=360x360'],https://twitter.com/iinnoact/status/1497813295427985412
iinnoact,@iinnoact,2022-02-27T03:11:53.000Z,"iinnoact
@iinnoact
·
Feb 26","Best Bitcoin Casinos 77+ Bitcoin Gambling Sites In 2021
iinnoact.es
Best Bitcoin Casinos 77+ Bitcoin Gambling Sites In 2021
Now cryptocurrencies are only being accepted by the world, and so far there are not many technologies that are ready to ensure the massive attraction of the population to the crypto market. Accordi…",,,,,['https://pbs.twimg.com/card_img/1497082088197083170/8KM6KOT6?format=jpg&name=360x360'],https://twitter.com/iinnoact/status/1497771439340072963
𝕬,@arobthc,2022-02-27T22:17:59.000Z,"𝕬
@arobthc
·
Feb 27","Replying to 
@inferwastaken1
ethereum",,,,,[],https://twitter.com/arobthc/status/1498059868309237766
RobertBTC,@RobertPortoles,2022-02-27T09:13:00.000Z,"RobertBTC
@RobertPortoles
·
Feb 27","Replying to 
@ramonarcusa
 and 
@RafaelNadal
Bitcoin
1
2",,,1,2,[],https://twitter.com/RobertPortoles/status/1497862320537718786
RobertBTC,@RobertPortoles,2022-02-27T09:13:18.000Z,"RobertBTC
@RobertPortoles
·
Feb 27","Replying to 
@clost0
Bitcoin
1
1",,,1,1,[],https://twitter.com/RobertPortoles/status/1497862394231541760
RobertBTC,@RobertPortoles,2022-02-27T09:13:10.000Z,"RobertBTC
@RobertPortoles
·
Feb 27","Replying to 
@foga112812
 @epigmenioibarra
 and 3 others
Bitcoin
1
1",,,1,1,[],https://twitter.com/RobertPortoles/status/1497862361356644355
iinnoact,@iinnoact,2022-02-27T05:17:49.000Z,"iinnoact
@iinnoact
·
Feb 26","Best Bitcoin Casinos 2021
iinnoact.es
Best Bitcoin Casinos 2021
However, you can play all crypto casino games, profit from them, and send the money to your wallet or even bank in USD with no worries. In addition, the first deposit also results in a 100% deposit…",,,,,['https://pbs.twimg.com/card_img/1497010160660746251/37E1WF1b?format=jpg&name=360x360'],https://twitter.com/iinnoact/status/1497803133006745603
RobertBTC,@RobertPortoles,2022-02-27T09:14:46.000Z,"RobertBTC
@RobertPortoles
·
Feb 27","Replying to 
@IdiazAyuso
Bitcoin",,,,,[],https://twitter.com/RobertPortoles/status/1497862763145838594
Ryan Minami,@ryanminami4,2022-02-27T04:45:14.000Z,"Ryan Minami
@ryanminami4
·
Feb 26",Ethereum gas fees almost as high as the gas fees for my car #ETH #ADA #XRP,🗺,,,,[],https://twitter.com/ryanminami4/status/1497794931741495299
RobertBTC,@RobertPortoles,2022-02-27T09:15:05.000Z,"RobertBTC
@RobertPortoles
·
Feb 27","Replying to 
@geoestratego
Bitcoin",,,,,[],https://twitter.com/RobertPortoles/status/1497862844410388482
